Throttle,Engine Speed,Vehicle Speed,Gear
99.438248,nan,nan,4.0
99.706856,nan,nan,4.0
99.071945,nan,nan,4.0
99.999901,nan,nan,4.0
99.096367,nan,nan,4.0
99.242882,nan,nan,4.0
99.242882,nan,nan,4.0
99.389404,nan,nan,4.0
99.438248,nan,nan,4.0
99.145203,nan,nan,4.0
99.242882,nan,nan,4.0
99.242882,nan,nan,4.0
98.974258,nan,nan,4.0
99.242882,nan,nan,4.0
99.535927,nan,nan,4.0
99.267303,nan,nan,4.0
98.974258,nan,nan,4.0
99.169624,nan,nan,4.0
99.487083,nan,nan,4.0
99.609184,nan,nan,4.0
99.609184,nan,nan,4.0
99.169624,nan,nan,4.0
99.316147,nan,nan,4.0
99.340561,nan,nan,4.0
99.609184,nan,nan,4.0
99.560341,nan,nan,4.0
99.560341,nan,nan,4.0
99.706856,nan,nan,4.0
99.487083,nan,nan,4.0
98.99868,nan,nan,4.0
99.340561,nan,nan,4.0
99.340561,nan,nan,4.0
99.560341,nan,nan,4.0
99.633598,nan,nan,4.0
99.242882,nan,nan,4.0
99.487083,nan,nan,4.0
99.999901,nan,nan,4.0
99.487083,nan,nan,4.0
98.949837,0.0,0.0,1.0
99.511505,361.958222,0.0,1.0
99.682442,767.266466,0.028246,1.0
99.267303,1191.170327,0.145393,1.0
99.316147,1600.610791,0.43924,1.0
99.242882,1921.096458,0.971529,1.0
99.487083,2142.437417,1.729554,1.0
99.316147,2283.77622,2.653589,1.0
99.609184,2367.072562,3.687226,1.0
99.145203,2411.599581,4.783181,1.0
99.364983,2433.399083,5.898976,1.0
99.364983,2444.623372,7.000658,1.0
98.901001,2451.776402,8.074549,1.0
99.535927,2463.250701,9.106275,1.0
99.023094,2476.811025,10.102766,1.0
99.633598,2494.026974,11.05581,1.0
99.438248,2512.825166,11.97253,1.0
99.364983,2534.454781,12.853115,1.0
99.267303,2560.035312,13.698838,1.0
99.487083,2586.672641,14.516964,1.0
99.609184,2614.925937,15.308805,1.0
99.267303,2647.211389,16.072989,1.0
99.682442,2679.935152,16.816611,1.0
99.413826,2712.669773,17.542333,1.0
99.65802,2744.146288,18.252021,1.0
99.096367,2778.633763,18.941251,1.0
99.413826,2812.510573,19.615336,1.0
99.242882,2846.059775,20.275413,1.0
99.21846,2877.584064,20.922705,1.0
98.949837,2907.895305,21.556698,1.0
99.560341,2937.340457,22.177041,1.0
99.560341,2972.520724,22.776958,1.0
99.267303,3009.300558,23.362345,1.0
99.633598,3047.231241,23.936552,1.0
99.535927,3089.146561,24.498109,1.0
99.364983,3129.254825,25.056616,1.0
99.316147,3175.38277,25.607869,1.0
99.291725,3220.938165,26.159333,1.0
99.511505,3265.740994,26.711038,1.0
99.584763,3317.970279,27.254475,1.0
99.633598,3366.770909,27.800668,1.0
99.462662,3419.937309,28.342496,1.0
99.511505,3470.008961,28.887245,1.0
99.65802,3522.68512,29.429524,1.0
99.364983,3574.917118,29.972463,1.0
99.535927,3626.49255,30.515715,1.0
99.902222,3676.79965,31.058673,1.0
99.21846,3725.859046,31.599945,1.0
99.340561,3773.498696,32.138452,1.0
99.560341,3827.119092,32.667839,1.0
99.462662,3876.55073,33.197934,1.0
98.949837,3929.454246,33.720945,1.0
98.949837,3976.564825,34.245382,1.0
99.267303,4029.328618,34.760826,1.0
99.21846,4075.615696,35.27953,1.0
99.682442,4126.856636,35.790055,1.0
99.023094,4173.277171,36.302659,1.0
98.925415,4221.342968,36.809398,1.0
99.609184,4267.759022,37.314321,1.0
99.291725,4315.996961,37.81551,1.0
99.21846,4360.414108,38.316647,1.0
99.560341,4407.035081,38.812387,1.0
99.560341,4451.775148,39.307077,1.0
99.487083,4493.582422,39.798493,1.0
99.145203,4535.898759,40.283433,1.0
99.047523,4576.180002,40.763867,1.0
99.389404,4616.877281,41.238118,2.0
99.169624,3286.150104,42.834411,2.0
99.438248,3244.507664,43.213128,2.0
99.65802,3267.162745,43.550635,2.0
99.511505,3283.787466,43.89182,2.0
99.267303,3300.440826,44.232648,2.0
99.511505,3316.885915,44.573187,2.0
99.609184,3336.07175,44.911913,2.0
99.535927,3354.971887,45.250575,2.0
99.535927,3373.695339,45.588966,2.0
99.462662,3468.445482,47.27586,2.0
99.999901,3488.298111,47.612204,2.0
98.949837,3507.98552,47.948958,2.0
99.633598,3525.718964,48.285979,2.0
99.535927,3546.645552,48.6215,2.0
99.609184,3564.711091,48.958562,2.0
98.99868,3642.288596,50.301016,2.0
99.267303,3660.416796,50.635323,2.0
99.242882,3679.70442,50.968276,2.0
99.340561,3697.624415,51.301124,2.0
99.413826,3716.509145,51.63261,2.0
99.145203,3734.533803,51.963775,2.0
99.413826,3752.554751,52.293874,2.0
99.535927,0.0,0.0,1.0
99.316147,361.958222,0.0,1.0
99.462662,767.266466,0.028246,1.0
99.340561,1191.170327,0.145393,1.0
99.242882,1600.610791,0.43924,1.0
99.560341,1921.096458,0.971529,1.0
99.047523,2411.599581,4.783181,1.0
99.316147,2433.395477,5.898976,1.0
99.902222,2444.616193,7.000654,1.0
99.291725,2451.848888,8.074539,1.0
99.731277,2463.353356,9.106338,1.0
99.609184,2476.904274,10.10293,1.0
99.975479,2534.429146,12.8535,1.0
98.949837,2560.290394,13.699174,1.0
99.609184,2586.642147,14.517527,1.0
99.316147,2614.998892,15.309297,1.0
99.267303,2647.055839,16.073519,1.0
99.291725,2679.876808,16.816953,1.0
99.706856,0.0,0.0,1.0
99.65802,361.958222,0.0,1.0
99.291725,767.266466,0.028246,1.0
99.242882,1191.170327,0.145393,1.0
99.65802,1600.610791,0.43924,1.0
99.242882,1921.096458,0.971529,1.0
99.120781,2142.437417,1.729554,1.0
99.755699,2283.77622,2.653589,1.0
99.633598,2367.072562,3.687226,1.0
99.242882,2411.599581,4.783181,1.0
99.242882,2433.40269,5.898976,1.0
99.609184,2444.612378,7.000661,1.0
99.535927,2451.805311,8.074542,1.0
99.780121,2463.370598,9.106297,1.0
99.267303,2476.922647,10.10291,1.0
99.535927,2494.146152,11.056058,1.0
99.511505,2512.860587,11.972883,1.0
99.21846,2534.504498,12.853481,1.0
99.584763,2560.003197,13.69923,1.0
99.511505,2586.824914,14.5173,1.0
99.096367,2615.017025,15.309273,1.0
99.633598,2646.913065,16.073516,1.0
99.413826,2680.099543,16.81681,1.0
98.949837,2712.510427,17.542677,1.0
99.560341,2743.62941,18.252178,1.0
99.194046,2778.314782,18.940887,1.0
99.242882,2812.483262,19.614687,1.0
99.462662,2845.813067,20.274783,1.0
99.609184,2877.748006,20.921887,1.0
99.706856,2908.436578,21.556083,1.0
99.438248,2938.472542,22.176995,1.0
99.071945,2972.640594,22.778174,1.0
99.047523,3008.765854,23.363584,1.0
99.609184,3046.968534,23.937044,1.0
99.120781,3089.104608,24.498294,1.0
99.560341,3175.690398,25.607411,1.0
99.096367,3221.199021,26.15924,1.0
99.267303,3265.479718,26.711225,1.0
99.462662,3317.774631,27.254271,1.0
99.438248,3366.655613,27.80022,1.0
99.560341,3419.683812,28.341939,1.0
99.609184,3470.179405,28.88639,1.0
98.949837,3522.565141,29.429081,1.0
99.047523,3574.019343,29.971897,1.0
99.169624,3626.508848,30.513838,1.0
98.925415,3676.05085,31.057092,1.0
99.242882,3724.809318,31.597477,1.0
99.242882,3773.734994,32.134807,1.0
99.511505,3876.925308,33.193776,1.0
99.535927,3928.365861,33.71829,1.0
99.169624,3977.827551,34.241194,1.0
99.145203,4027.786818,34.759642,1.0
99.21846,4076.508786,35.275845,1.0
99.535927,4125.56829,35.788498,1.0
99.364983,4173.728246,36.299213,1.0
99.999901,4221.069594,36.807221,1.0
99.65802,4269.51027,37.312046,1.0
98.852158,4314.708417,37.81626,1.0
99.242882,4360.369006,38.315359,1.0
99.633598,4406.930882,38.811213,1.0
99.364983,4451.833365,39.305914,1.0
99.535927,4536.260758,40.281827,1.0
99.535927,4576.578235,40.762934,1.0
99.487083,4617.515397,41.237802,2.0
99.535927,3286.256156,42.834785,2.0
99.291725,3244.999263,43.213559,2.0
98.949837,3266.971236,43.551372,2.0
99.511505,3282.935611,43.892408,2.0
99.487083,3300.51436,44.232663,2.0
99.511505,3317.163284,44.57325,2.0
99.584763,3335.959703,44.91222,2.0
99.535927,3355.010875,45.250767,2.0
99.389404,3373.694749,45.589183,2.0
99.340561,3392.318048,45.927197,2.0
99.560341,3429.470245,46.602159,2.0
99.584763,3449.713257,46.938543,2.0
99.487083,3468.656986,47.275628,2.0
99.535927,3488.189516,47.612184,2.0
99.413826,3507.45271,47.948837,2.0
99.340561,3526.585674,48.285372,2.0
99.65802,3584.499258,49.294018,2.0
99.316147,3604.832308,49.629586,2.0
99.047523,3623.198774,49.965764,2.0
99.535927,3642.017494,50.300593,2.0
99.242882,3661.249122,50.634659,2.0
99.145203,3679.048213,50.968457,2.0
99.340561,3697.949378,51.300665,2.0
98.949837,3716.258754,51.632485,2.0
99.633598,3734.088796,51.963421,2.0
99.535927,3753.416373,52.293126,2.0
99.267303,3770.656312,52.623099,2.0
99.584763,3788.86968,52.951447,2.0
99.291725,3842.218198,53.932496,2.0
98.852158,3861.94541,54.256484,2.0
99.535927,3879.924575,54.580225,2.0
99.21846,3901.20202,54.901596,2.0
99.267303,3917.147555,55.224924,2.0
99.511505,3939.563166,55.543549,2.0
99.291725,3991.483673,56.503457,2.0
99.462662,4014.727248,56.817899,2.0
99.682442,4028.462142,57.137156,2.0
99.609184,4051.979101,57.449955,2.0
99.487083,4065.043265,57.767961,2.0
99.340561,4088.251897,58.079033,2.0
99.633598,4101.351723,58.395038,2.0
99.609184,4124.5703,58.70449,2.0
99.21846,4137.733325,59.018954,2.0
99.438248,4159.37732,59.327217,2.0
99.65802,4174.162269,59.638841,2.0
99.462662,4194.87162,59.946347,2.0
99.609184,4209.655505,60.256275,2.0
99.633598,4263.382649,61.175428,2.0
99.609184,4281.064547,61.480438,2.0
99.340561,4298.013012,61.785008,2.0
99.242882,4314.902367,62.088466,2.0
99.413826,4331.981763,62.390856,2.0
99.706856,4349.312377,62.692461,2.0
