Throttle,Brake,Engine Speed,Vehicle Speed,Gear
49.084202,0.0,131.961004,4105.307486,4.0
49.05978,0.0,131.961376,4105.666314,4.0
49.084202,0.0,131.961835,4105.371894,4.0
48.986523,0.0,131.962218,4105.68747,4.0
49.05978,0.0,131.96282,4106.301645,4.0
48.937679,0.0,131.963811,4104.458221,4.0
49.10862,0.0,131.963951,4103.793895,4.0
48.937679,0.0,131.963926,4105.985357,4.0
49.133041,0.0,131.964445,4103.857207,4.0
49.035362,0.0,131.965029,4107.365946,4.0
48.88884,0.0,131.965885,4105.198937,4.0
48.88884,0.0,131.966194,4103.237014,4.0
49.10862,0.0,131.966014,4103.160249,4.0
49.010941,0.0,131.965816,4106.002597,4.0
48.88884,0.0,131.966544,4104.183019,4.0
49.133041,0.0,131.966595,4103.209724,4.0
49.377239,0.0,131.966993,4104.876323,4.0
48.937679,0.0,131.967213,4109.58359,4.0
49.084202,0.0,131.968612,4104.833427,4.0
49.010941,0.0,131.968809,4105.817053,4.0
49.157463,0.0,131.96946,4105.200992,4.0
49.133041,0.0,131.969742,4106.801407,4.0
48.986523,0.0,131.971032,4105.925013,4.0
49.206303,0.0,131.971482,4104.647792,4.0
48.986523,0.0,131.972439,4106.300926,4.0
49.10862,0.0,131.972973,4104.693633,4.0
48.962101,0.0,131.973611,4105.972892,4.0
49.035362,0.0,131.974054,4104.390577,4.0
49.084202,0.0,131.974368,4109.125854,4.0
49.10862,0.0,132.139866,4109.796911,4.0
49.010941,0.0,132.139998,4110.161774,4.0
48.937679,0.0,132.140219,4108.911543,4.0
49.303982,0.0,132.140129,4107.913028,4.0
49.035362,0.0,132.139792,4112.619824,4.0
49.10862,0.0,132.140629,4109.314676,4.0
49.157463,0.0,132.140635,4110.158438,4.0
49.084202,0.0,132.140851,4110.827909,4.0
49.035362,0.0,132.141232,4109.908108,4.0
49.10862,0.0,132.141381,4109.245836,4.0
48.962101,0.0,132.141365,4110.17223,4.0
48.962101,0.0,132.141579,4108.308444,4.0
48.986523,0.0,132.141329,4108.23336,4.0
49.10862,0.0,132.141063,4108.541352,4.0
49.157463,0.0,132.140874,4110.134066,4.0
49.206303,0.0,132.141082,4110.832255,4.0
49.157463,0.0,132.141462,4111.498832,4.0
49.084202,0.0,132.142006,4110.898483,4.0
48.937679,0.0,132.142395,4109.936692,4.0
48.962101,0.0,132.142543,4108.004845,4.0
49.181881,0.0,132.142211,4108.240814,4.0
49.05978,0.0,132.14194,4111.096678,4.0
48.839996,0.0,132.142379,4109.625685,4.0
48.986523,0.0,132.14245,4106.723555,4.0
48.937679,0.0,132.141803,4108.493982,4.0
49.05978,0.0,132.141597,4107.929751,4.0
49.010941,0.0,132.141254,4109.484009,4.0
49.133041,0.0,132.141298,4108.911607,4.0
49.133041,0.0,132.141199,4110.472783,4.0
48.864418,0.0,132.141489,4110.53609,4.0
49.181881,0.0,132.141792,4107.05741,4.0
49.035362,0.0,132.141232,4111.030864,4.0
49.157463,0.0,132.141661,4109.290275,4.0
48.986523,0.0,132.141653,4110.814395,4.0
48.962101,0.0,132.142025,4108.657271,4.0
49.035362,0.0,132.141594,4110.772781,4.0
49.084202,0.0,132.141955,4109.288467,4.0
48.986523,0.0,132.141945,4109.869894,4.0
49.035362,0.0,132.14208,4108.626145,4.0
49.05978,0.0,132.141905,4109.209653,4.0
49.084202,0.0,132.141875,4109.548359,4.0
49.084202,0.0,132.14193,4109.8792,4.0
49.084202,0.0,132.142067,4109.894269,4.0
49.05978,0.0,132.142206,4109.897942,4.0
49.05978,0.0,132.142346,4109.584161,4.0
49.206303,0.0,132.142406,4109.57417,4.0
49.035362,0.0,132.142463,4111.47715,4.0
49.133041,0.0,132.142994,4109.334588,4.0
48.962101,0.0,132.142987,4110.528979,4.0
49.010941,0.0,132.143277,4108.358915,4.0
49.035362,0.0,132.143027,4108.907221,4.0
49.010941,0.0,132.142886,4109.572299,4.0
48.937679,0.0,132.14294,4108.951718,4.0
49.084202,0.0,132.142839,4107.97529,4.0
49.010941,0.0,132.142497,4109.830588,4.0
49.206303,0.0,132.142618,4108.95383,4.0
49.157463,0.0,132.143044,4108.700818,4.0
49.010941,0.0,132.14288,4110.819207,4.0
49.084202,0.0,132.143243,4109.00197,4.0
49.206303,0.0,132.143282,4109.921831,4.0
49.035362,0.0,132.143419,4111.51132,4.0
49.10862,0.0,132.14395,4109.357291,4.0
49.05978,0.0,132.144152,4109.002601,4.0
48.913258,0.0,132.144054,4109.589351,4.0
49.206303,0.0,132.144103,4107.710419,4.0
49.035362,0.0,132.144196,4108.408986,4.0
49.035362,0.0,132.143952,4109.246855,4.0
49.181881,0.0,132.143916,4109.278583,4.0
49.10862,0.0,132.143889,4111.181072,4.0
49.010941,0.0,132.144559,4110.916589,4.0
49.084202,0.0,132.144934,4109.043328,4.0
49.010941,0.0,132.144841,4109.92553,4.0
49.035362,0.0,132.144865,4110.558736,4.0
48.962101,0.0,132.145148,4109.353277,4.0
48.986523,0.0,132.14513,4108.35882,4.0
48.962101,0.0,132.144671,4109.905689,4.0
49.133041,0.0,132.144794,4108.371412,4.0
49.084202,0.0,132.144536,4110.526143,4.0
49.133041,0.0,132.144953,4109.962724,4.0
49.206303,0.0,132.145087,4110.599222,4.0
49.084202,0.0,132.145913,4108.769564,4.0
49.010941,0.0,132.145744,4109.935144,4.0
49.10862,0.0,132.145866,4109.030605,4.0
48.962101,0.0,132.145965,4110.946696,4.0
49.133041,0.0,132.146337,4108.441819,4.0
49.157463,0.0,132.146359,4108.746623,4.0
49.084202,0.0,132.146182,4110.894933,4.0
49.05978,0.0,132.146539,4110.030073,4.0
49.181881,0.0,132.146731,4109.358077,4.0
49.157463,0.0,132.146702,4111.247193,4.0
49.035362,0.0,132.147143,4111.006567,4.0
48.88884,0.0,132.147501,4110.950563,4.0
49.084202,0.0,132.147862,4107.525102,4.0
48.937679,0.0,132.147372,4109.9204,4.0
49.084202,0.0,132.147135,4108.672257,4.0
49.035362,0.0,132.146934,4109.957935,4.0
49.035362,0.0,132.147052,4109.375139,4.0
49.010941,0.0,132.146993,4109.668556,4.0
48.937679,0.0,132.147039,4109.047307,4.0
49.181881,0.0,132.146582,4110.559569,4.0
49.084202,0.0,132.146852,4111.294037,4.0
49.157463,0.0,132.147303,4110.060402,4.0
49.010941,0.0,132.147811,4111.012627,4.0
49.05978,0.0,132.148185,4109.119854,4.0
49.255142,0.0,132.148128,4110.340372,4.0
49.133041,0.0,132.148332,4112.270884,4.0
49.010941,0.0,132.149319,4107.86881,4.0
49.010941,0.0,132.148902,4109.018374,4.0
